STATE,RATE,DEATHS,URL
AL,16.6,836,/nchs/pressroom/states/alabama/alabama.htm
AK,27.0,200,/nchs/pressroom/states/alaska/alaska.htm
AZ,18.2,"1,327",/nchs/pressroom/states/arizona/arizona.htm
AR,20.8,631,/nchs/pressroom/states/arkansas/arkansas.htm
CA,10.5,"4,312",/nchs/pressroom/states/california/california.htm
CO,20.3,"1,181",/nchs/pressroom/states/colorado/colorado.htm
CT,10.5,405,/nchs/pressroom/states/connecticut/connecticut.htm
DE,11.6,112,/nchs/pressroom/states/delaware/delaware.htm
FL,14.0,"3,227",/nchs/pressroom/states/florida/florida.htm
GA,13.6,"1,451",/nchs/pressroom/states/georgia/georgia.htm
HI,15.2,227,/nchs/pressroom/states/hawaii/hawaii.htm
ID,23.2,392,/nchs/pressroom/states/idaho/idaho.htm
IL,11.2,"1,474",/nchs/pressroom/states/illinois/illinois.htm
IN,16.3,"1,092",/nchs/pressroom/states/indiana/indiana.htm
IA,15.0,479,/nchs/pressroom/states/iowa/iowa.htm
KS,19.1,553,/nchs/pressroom/states/kansas/kansas.htm
KY,16.9,770,/nchs/pressroom/states/kentucky/kentucky.htm
LA,15.2,720,/nchs/pressroom/states/louisiana/louisiana.htm
ME,18.9,274,/nchs/pressroom/states/maine/maine.htm
MD,9.8,630,/nchs/pressroom/states/maryland/maryland.htm
MA,9.5,682,/nchs/pressroom/states/massachusetts/massachusetts.htm
MI,14.1,"1,457",/nchs/pressroom/states/michigan/michigan.htm
MN,13.8,783,/nchs/pressroom/states/minnesota/minnesota.htm
MS,15.0,445,/nchs/pressroom/states/mississippi/mississippi.htm
MO,18.5,"1,151",/nchs/pressroom/states/missouri/missouri.htm
MT,28.9,311,/nchs/pressroom/states/montana/montana.htm
NE,14.7,275,/nchs/pressroom/states/nebraska/nebraska.htm
NV,20.3,627,/nchs/pressroom/states/nevada/nevada.htm
NH,18.9,265,/nchs/pressroom/states/newhampshire/newhampshire.htm
NJ,8.3,795,/nchs/pressroom/states/newjersey/newjersey.htm
NM,23.3,491,/nchs/pressroom/states/newmexico/newmexico.htm
NY,8.1,"1,696",/nchs/pressroom/states/newyork/newyork.htm
NC,14.3,"1,521",/nchs/pressroom/states/northcarolina/northcarolina.htm
ND,20.1,154,/nchs/pressroom/states/northdakota/northdakota.htm
OH,14.8,"1,740",/nchs/pressroom/states/ohio/ohio.htm
OK,19.1,756,/nchs/pressroom/states/oklahoma/oklahoma.htm
OR,19.0,825,/nchs/pressroom/states/oregon/oregon.htm
PA,15.0,"2,030",/nchs/pressroom/states/pennsylvania/pennsylvania.htm
RI,11.8,129,/nchs/pressroom/states/rhodeisland/rhodeisland.htm
SC,16.3,838,/nchs/pressroom/states/southcarolina/southcarolina.htm
SD,22.5,191,/nchs/pressroom/states/southdakota/southdakota.htm
TN,16.8,"1,166",/nchs/pressroom/states/tenessee/tennessee.htm
TX,13.4,"3,778",/nchs/pressroom/states/texas/texas.htm
UT,22.7,663,/nchs/pressroom/states/utah/utah.htm
VT,18.3,112,/nchs/pressroom/states/vermont/vermont.htm
VA,13.4,"1,179",/nchs/pressroom/states/virginia/virginia.htm
WA,16.9,"1,297",/nchs/pressroom/states/washington/washington.htm
WV,21.1,393,/nchs/pressroom/states/westvirginia/westvirginia.htm
WI,15.4,926,/nchs/pressroom/states/wisconsin/wisconsin.htm
WY,26.9,157,/nchs/pressroom/states/wyoming/wyoming.htm
