country-year,country,year,suicides_no,population,suicides/100k pop,year_gdp,gdp_per_capita
Albania1987,Albania,1987,73,2709600,31.849999999999998,2160000000.0,796.0
Albania1988,Albania,1988,63,2764300,32.46,2130000000.0,769.0
Albania1989,Albania,1989,68,2803100,33.4,2340000000.0,833.0
Albania1992,Albania,1992,47,2822500,18.000000000000004,709000000.0,251.0
Albania1993,Albania,1993,73,2807300,32.56,1230000000.0,437.0
Albania1994,Albania,1994,50,2849300,32.18000000000001,1990000000.0,697.0
Albania1995,Albania,1995,88,2903400,40.550000000000004,2420000000.0,835.0
Albania1996,Albania,1996,89,2940200,43.62,3310000000.0,1127.0
Albania1997,Albania,1997,170,2977300,77.43,2360000000.0,793.0
Albania1998,Albania,1998,154,3012700,66.52,2710000000.0,899.0
Albania1999,Albania,1999,139,3029700,69.81,3410000000.0,1127.0
Albania2000,Albania,2000,54,2796300,30.699999999999996,3630000000.0,1299.0
Albania2001,Albania,2001,119,2799349,50.61999999999999,4060000000.0,1451.0
Albania2002,Albania,2002,133,2818839,62.510000000000005,4440000000.0,1573.0
Albania2003,Albania,2003,124,2843929,58.60000000000001,5750000000.0,2021.0
Albania2004,Albania,2004,146,2874991,65.39,7310000000.0,2544.0
Albania2005,Albania,2005,0,2783320,0.0,8160000000.0,2931.0
Albania2006,Albania,2006,0,2780176,0.0,8990000000.0,3235.0
Albania2007,Albania,2007,124,2770344,65.85,10700000000.0,3863.0
Albania2008,Albania,2008,160,2757059,71.05000000000001,12900000000.0,4672.0
Albania2009,Albania,2009,0,2745735,0.0,12000000000.0,4387.0
Albania2010,Albania,2010,96,2736025,41.66,11900000000.0,4359.0
Antigua and Barbuda1985,Antigua and Barbuda,1985,0,62574,0.0,241000000.0,3850.0
Antigua and Barbuda1986,Antigua and Barbuda,1986,0,61270,0.0,290000000.0,4740.0
Antigua and Barbuda1987,Antigua and Barbuda,1987,0,60261,0.0,337000000.0,5595.0
Antigua and Barbuda1988,Antigua and Barbuda,1988,0,59564,0.0,399000000.0,6693.0
Antigua and Barbuda1989,Antigua and Barbuda,1989,0,59238,0.0,439000000.0,7407.0
Antigua and Barbuda1990,Antigua and Barbuda,1990,1,59334,17.24,459000000.0,7744.0
Antigua and Barbuda1991,Antigua and Barbuda,1991,0,60394,0.0,482000000.0,7976.0
Antigua and Barbuda1992,Antigua and Barbuda,1992,0,61741,0.0,499000000.0,8087.0
Antigua and Barbuda1993,Antigua and Barbuda,1993,1,63315,15.0,535000000.0,8453.0
Antigua and Barbuda1994,Antigua and Barbuda,1994,0,65044,0.0,589000000.0,9062.0
Antigua and Barbuda1995,Antigua and Barbuda,1995,0,66846,0.0,577000000.0,8636.0
Antigua and Barbuda1998,Antigua and Barbuda,1998,0,72225,0.0,728000000.0,10078.0
Antigua and Barbuda1999,Antigua and Barbuda,1999,0,73832,0.0,766000000.0,10378.0
Antigua and Barbuda2000,Antigua and Barbuda,2000,2,75326,39.97,830000000.0,11021.0
Antigua and Barbuda2001,Antigua and Barbuda,2001,2,76497,19.45,801000000.0,10468.0
Antigua and Barbuda2002,Antigua and Barbuda,2002,0,77588,0.0,815000000.0,10499.0
Antigua and Barbuda2003,Antigua and Barbuda,2003,1,78658,27.82,856000000.0,10878.0
Antigua and Barbuda2004,Antigua and Barbuda,2004,2,79722,36.06,920000000.0,11535.0
Antigua and Barbuda2005,Antigua and Barbuda,2005,0,80809,0.0,1020000000.0,12649.0
Antigua and Barbuda2006,Antigua and Barbuda,2006,0,81973,0.0,1160000000.0,14114.0
Antigua and Barbuda2007,Antigua and Barbuda,2007,1,83131,7.98,1310000000.0,15775.0
Antigua and Barbuda2008,Antigua and Barbuda,2008,0,84273,0.0,1370000000.0,16238.0
Antigua and Barbuda2009,Antigua and Barbuda,2009,0,85405,0.0,1220000000.0,14335.0
Antigua and Barbuda2012,Antigua and Barbuda,2012,0,88703,0.0,1210000000.0,13657.0
Antigua and Barbuda2013,Antigua and Barbuda,2013,0,89779,0.0,1190000000.0,13287.0
Antigua and Barbuda2014,Antigua and Barbuda,2014,0,90837,0.0,1280000000.0,14093.0
Antigua and Barbuda2015,Antigua and Barbuda,2015,1,91889,15.62,1360000000.0,14853.0
Argentina1985,Argentina,1985,1988,27090800,134.47000000000003,88400000000.0,3264.0
Argentina1986,Argentina,1986,2284,27244400,152.90000000000003,111000000000.0,4070.0
Argentina1987,Argentina,1987,2286,27599400,144.98,111000000000.0,4030.0
Argentina1988,Argentina,1988,2354,28308000,146.24,126000000000.0,4460.0
Argentina1989,Argentina,1989,2247,28702000,138.93,76600000000.0,2670.0
Argentina1990,Argentina,1990,2140,29091100,134.89999999999998,141000000000.0,4860.0
Argentina1991,Argentina,1991,1951,29623000,119.23999999999998,190000000000.0,6400.0
Argentina1992,Argentina,1992,2184,30045400,126.86000000000003,229000000000.0,7620.0
Argentina1993,Argentina,1993,2230,30477500,134.77,237000000000.0,7770.0
Argentina1994,Argentina,1994,2241,30911200,122.05,257000000000.0,8330.0
Argentina1995,Argentina,1995,2204,31345400,119.97,258000000000.0,8230.0
Argentina1996,Argentina,1996,2229,31780700,118.03,272000000000.0,8560.0
Argentina1997,Argentina,1997,2184,32333781,111.39999999999998,293000000000.0,9060.0
Argentina1998,Argentina,1998,2347,32757259,116.92999999999998,299000000000.0,9130.0
Argentina1999,Argentina,1999,2423,33174862,117.19,284000000000.0,8550.0
Argentina2000,Argentina,2000,2774,33585533,131.39,284000000000.0,8460.0
Argentina2001,Argentina,2001,3132,34010946,143.55999999999997,269000000000.0,7900.0
Argentina2002,Argentina,2002,3162,34407507,139.42,97700000000.0,2840.0
Argentina2003,Argentina,2003,3289,34785907,146.29,128000000000.0,3670.0
Argentina2004,Argentina,2004,3121,35162945,131.05999999999997,165000000000.0,4680.0
Argentina2005,Argentina,2005,3058,35550617,128.18,199000000000.0,5590.0
Argentina2006,Argentina,2006,3108,35918886,128.21999999999997,233000000000.0,6480.0
Argentina2007,Argentina,2007,2946,36315492,118.35000000000004,288000000000.0,7920.0
Argentina2008,Argentina,2008,3059,36733520,118.10999999999999,362000000000.0,9840.0
Argentina2009,Argentina,2009,2884,37158001,107.32000000000001,333000000000.0,8960.0
Argentina2010,Argentina,2010,2943,37578454,111.24000000000001,424000000000.0,11300.0
Argentina2011,Argentina,2011,2912,38015739,105.86999999999998,530000000000.0,13900.0
Argentina2012,Argentina,2012,3248,38441778,119.81999999999998,546000000000.0,14200.0
Argentina2013,Argentina,2013,2987,38859125,103.42,552000000000.0,14200.0
Argentina2014,Argentina,2014,3231,39276555,111.35,526000000000.0,13400.0
Argentina2015,Argentina,2015,3073,39699624,112.13000000000001,595000000000.0,15000.0
Armenia1990,Armenia,1990,93,2983700,41.12,2260000000.0,756.0
Armenia1991,Armenia,1991,80,3230800,45.87000000000001,2070000000.0,640.0
Armenia1992,Armenia,1992,83,3308700,40.86000000000001,1270000000.0,385.0
Armenia1993,Armenia,1993,106,3366600,51.050000000000004,1200000000.0,357.0
Armenia1994,Armenia,1994,112,3402500,66.73,1320000000.0,387.0
Armenia1995,Armenia,1995,130,3443200,51.78999999999999,1470000000.0,426.0
Armenia1996,Armenia,1996,87,3486300,37.050000000000004,1600000000.0,458.0
Armenia1997,Armenia,1997,77,3526700,32.23,1640000000.0,465.0
Armenia1998,Armenia,1998,66,3558000,27.419999999999998,1890000000.0,532.0
Armenia1999,Armenia,1999,67,3580700,24.68,1850000000.0,515.0
Armenia2000,Armenia,2000,61,3606500,34.300000000000004,1910000000.0,530.0
Armenia2001,Armenia,2001,60,3610516,29.78,2120000000.0,587.0
Armenia2002,Armenia,2002,74,3014844,38.070000000000014,2380000000.0,788.0
Armenia2003,Armenia,2003,59,3024366,33.43000000000001,2810000000.0,928.0
Armenia2006,Armenia,2006,78,2764396,43.67,6380000000.0,2310.0
Armenia2007,Armenia,2007,71,2735313,39.019999999999996,9210000000.0,3366.0
Armenia2008,Armenia,2008,63,3045391,35.15,11700000000.0,3829.0
Armenia2009,Armenia,2009,53,2689695,33.7,8650000000.0,3215.0
Armenia2010,Armenia,2010,73,2676225,40.41000000000001,9260000000.0,3460.0
Armenia2011,Armenia,2011,67,2670366,32.980000000000004,10100000000.0,3798.0
Armenia2012,Armenia,2012,79,2814300,36.57000000000001,10600000000.0,3773.0
Armenia2013,Armenia,2013,67,2810664,37.480000000000004,11100000000.0,3957.0
Armenia2014,Armenia,2014,58,2803029,37.00999999999999,11600000000.0,4142.0
Armenia2015,Armenia,2015,74,2795335,45.28,10600000000.0,3775.0
Armenia2016,Armenia,2016,67,2400033,40.56000000000001,10500000000.0,3788.0
Aruba1995,Aruba,1995,8,73581,308.51,1320000000.0,17949.0
Aruba1999,Aruba,1999,9,81934,115.47000000000001,1720000000.0,21027.0
Aruba2000,Aruba,2000,10,83888,305.33,1870000000.0,22333.0
Aruba2001,Aruba,2001,4,86045,27.28,1920000000.0,22317.0
Aruba2002,Aruba,2002,9,88284,126.46000000000002,1940000000.0,21987.0
Aruba2003,Aruba,2003,2,90457,12.93,2020000000.0,22345.0
Aruba2004,Aruba,2004,8,92335,176.71999999999997,2230000000.0,24133.0
Aruba2005,Aruba,2005,10,93728,99.57999999999998,2330000000.0,24870.0
Aruba2006,Aruba,2006,9,94508,96.31,2420000000.0,25622.0
Aruba2007,Aruba,2007,8,94814,92.19000000000001,2620000000.0,27672.0
Aruba2008,Aruba,2008,4,94814,41.440000000000005,2790000000.0,29447.0
Aruba2009,Aruba,2009,4,94795,42.230000000000004,2500000000.0,26361.0
Aruba2010,Aruba,2010,7,95006,58.65,2470000000.0,25974.0
Aruba2011,Aruba,2011,9,95488,93.42,2580000000.0,27066.0
Australia1985,Australia,1985,1861,14562500,163.41,180000000000.0,12400.0
Australia1986,Australia,1986,2044,14809800,175.79000000000002,182000000000.0,12300.0
Australia1987,Australia,1987,2164,15046500,188.82000000000005,189000000000.0,12600.0
Australia1988,Australia,1988,2172,15312100,179.32,236000000000.0,15400.0
Australia1989,Australia,1989,2066,15570600,168.11,299000000000.0,19200.0
Australia1990,Australia,1990,2202,15807000,172.34999999999997,311000000000.0,19700.0
Australia1991,Australia,1991,2288,16012100,180.15000000000003,325000000000.0,20300.0
Australia1992,Australia,1992,2251,16203500,170.64000000000004,325000000000.0,20100.0
Australia1993,Australia,1993,2038,16370000,154.94999999999996,312000000000.0,19000.0
Australia1994,Australia,1994,2283,16549400,167.75,322000000000.0,19500.0
Australia1995,Australia,1995,2170,16766300,155.19,367000000000.0,21900.0
Australia1996,Australia,1996,2426,17015100,175.33999999999997,400000000000.0,23500.0
Australia1997,Australia,1997,2646,17221300,186.93000000000006,435000000000.0,25200.0
Australia1998,Australia,1998,2632,17421730,176.41000000000003,399000000000.0,22900.0
Australia1999,Australia,1999,2488,17641702,167.14999999999998,388000000000.0,22000.0
Australia2000,Australia,2000,2391,17874410,157.82000000000005,415000000000.0,23200.0
Australia2001,Australia,2001,2458,18130883,158.79000000000002,378000000000.0,20900.0
Australia2002,Australia,2002,2319,18370058,144.68,394000000000.0,21500.0
Australia2003,Australia,2003,2156,18608029,133.84,466000000000.0,25100.0
Australia2004,Australia,2004,2114,18854551,133.76000000000002,612000000000.0,32500.0
Australia2006,Australia,2006,2117,19109246,127.89000000000001,746000000000.0,39000.0
Australia2007,Australia,2007,2229,19734430,130.25,852000000000.0,43200.0
Australia2008,Australia,2008,2341,20120312,130.48999999999998,1050000000000.0,52300.0
Australia2009,Australia,2009,2337,20529317,130.12,926000000000.0,45100.0
Australia2010,Australia,2010,2420,20847547,132.64000000000001,1140000000000.0,54900.0
Australia2011,Australia,2011,2392,20881910,133.21999999999997,1390000000000.0,66800.0
Australia2012,Australia,2012,2580,21238909,139.57,1540000000000.0,72700.0
Australia2013,Australia,2013,2608,21600180,138.78,1570000000000.0,72900.0
Australia2014,Australia,2014,2891,21927587,149.07,1460000000000.0,66800.0
Australia2015,Australia,2015,3027,22240785,154.18000000000004,1350000000000.0,60700.0
Austria1985,Austria,1985,2091,7110115,384.81,69400000000.0,9759.0
Austria1986,Austria,1986,2139,7119149,401.79999999999995,99000000000.0,13911.0
Austria1987,Austria,1987,2069,7130006,405.88,124000000000.0,17400.0
Austria1988,Austria,1988,1851,7144410,357.64,133000000000.0,18700.0
Austria1989,Austria,1989,1898,7177666,359.32,133000000000.0,18500.0
Austria1990,Austria,1990,1825,7231353,353.78,166000000000.0,23000.0
Austria1991,Austria,1991,1769,7299728,355.4700000000001,174000000000.0,23800.0
Austria1992,Austria,1992,1759,7375368,341.74000000000007,195000000000.0,26500.0
Austria1993,Austria,1993,1704,7433569,347.9599999999999,190000000000.0,25600.0
Austria1994,Austria,1994,1776,7462552,343.61999999999995,204000000000.0,27300.0
Austria1995,Austria,1995,1788,7477030,348.0899999999999,241000000000.0,32200.0
Austria1996,Austria,1996,1779,7493706,342.65,237000000000.0,31700.0
Austria1997,Austria,1997,1592,7512589,297.5000000000001,213000000000.0,28300.0
Austria1998,Austria,1998,1559,7533519,289.38,218000000000.0,29000.0
Austria1999,Austria,1999,1555,7561609,280.3,217000000000.0,28700.0
Austria2000,Austria,2000,1588,7592073,289.77,197000000000.0,25900.0
Austria2001,Austria,2001,1489,7634560,261.90999999999997,197000000000.0,25800.0
Austria2002,Austria,2002,1553,7683162,276.92,213000000000.0,27800.0
Austria2003,Austria,2003,1456,7722033,257.06,262000000000.0,33900.0
Austria2004,Austria,2004,1422,7773105,254.04,301000000000.0,38700.0
Austria2005,Austria,2005,1399,7827461,235.24999999999997,316000000000.0,40400.0
Austria2006,Austria,2006,1297,7869269,218.89999999999995,336000000000.0,42700.0
Austria2007,Austria,2007,1285,7897272,217.31,389000000000.0,49200.0
Austria2008,Austria,2008,1267,7925258,216.45000000000002,430000000000.0,54300.0
Austria2009,Austria,2009,1278,7946894,213.22,400000000000.0,50400.0
Austria2010,Austria,2010,1264,7968421,207.55000000000004,392000000000.0,49200.0
Austria2011,Austria,2011,1288,7995146,211.49,431000000000.0,53900.0
Austria2012,Austria,2012,1276,8031276,206.63,409000000000.0,51000.0
Austria2013,Austria,2013,1291,8079615,212.12,430000000000.0,53200.0
Austria2014,Austria,2014,1314,8141165,209.81999999999996,442000000000.0,54300.0
Austria2015,Austria,2015,1251,8219386,194.62,382000000000.0,46500.0
Austria2016,Austria,2016,1201,7484629,183.23,391000000000.0,47000.0
Azerbaijan1990,Azerbaijan,1990,114,6156800,24.609999999999996,8860000000.0,1439.0
Azerbaijan1991,Azerbaijan,1991,134,6290600,32.230000000000004,8790000000.0,1398.0
Azerbaijan1992,Azerbaijan,1992,144,6370400,34.78000000000001,4990000000.0,784.0
Azerbaijan1993,Azerbaijan,1993,119,6442600,31.519999999999996,3970000000.0,617.0
Azerbaijan1994,Azerbaijan,1994,47,6521200,12.040000000000001,3310000000.0,508.0
Azerbaijan1995,Azerbaijan,1995,49,6605900,14.280000000000001,3050000000.0,462.0
Azerbaijan1996,Azerbaijan,1996,69,6668100,17.830000000000002,3180000000.0,476.0
Azerbaijan1997,Azerbaijan,1997,107,6711200,18.59,3960000000.0,590.0
Azerbaijan1998,Azerbaijan,1998,56,7044400,10.669999999999998,4450000000.0,631.0
Azerbaijan1999,Azerbaijan,1999,54,7106400,8.58,4580000000.0,645.0
Azerbaijan2000,Azerbaijan,2000,62,7415250,14.410000000000002,5270000000.0,711.0
Azerbaijan2001,Azerbaijan,2001,317,7518000,60.050000000000004,5710000000.0,759.0
Azerbaijan2002,Azerbaijan,2002,92,7605700,19.419999999999998,6240000000.0,820.0
Azerbaijan2003,Azerbaijan,2003,129,7674400,27.07,7280000000.0,948.0
Azerbaijan2004,Azerbaijan,2004,108,7738250,18.33,8680000000.0,1122.0
Azerbaijan2007,Azerbaijan,2007,55,7921100,11.830000000000002,33100000000.0,4172.0
Bahamas1985,Bahamas,1985,1,203700,4.76,2320000000.0,11393.0
Bahamas1987,Bahamas,1987,3,220900,13.59,2710000000.0,12286.0
Bahamas1993,Bahamas,1993,7,243500,37.51,3090000000.0,12698.0
Bahamas1994,Bahamas,1994,3,249300,10.6,3260000000.0,13073.0
Bahamas1995,Bahamas,1995,2,254500,7.16,3430000000.0,13473.0
Bahamas1996,Bahamas,1996,3,252438,9.82,3610000000.0,14297.0
Bahamas1997,Bahamas,1997,2,255956,7.15,6330000000.0,24740.0
Bahamas1998,Bahamas,1998,3,260125,11.09,6830000000.0,26269.0
Bahamas1999,Bahamas,1999,6,264791,22.959999999999997,7680000000.0,29019.0
Bahamas2000,Bahamas,2000,11,269738,40.660000000000004,8080000000.0,29942.0
Bahamas2001,Bahamas,2001,1,276140,2.68,8320000000.0,30122.0
Bahamas2002,Bahamas,2002,3,282555,9.969999999999999,8880000000.0,31432.0
Bahamas2003,Bahamas,2003,1,288888,2.49,8870000000.0,30704.0
Bahamas2004,Bahamas,2004,2,295237,5.93,9060000000.0,30671.0
Bahamas2005,Bahamas,2005,4,301763,13.32,9840000000.0,32596.0
Bahamas2006,Bahamas,2006,2,308499,5.640000000000001,10200000000.0,32957.0
Bahamas2007,Bahamas,2007,5,314989,13.420000000000002,10600000000.0,33710.0
Bahamas2008,Bahamas,2008,4,321447,12.490000000000002,10500000000.0,32746.0
Bahamas2009,Bahamas,2009,6,327813,15.98,9980000000.0,30450.0
Bahamas2010,Bahamas,2010,10,333869,58.32,10100000000.0,30239.0
Bahamas2011,Bahamas,2011,4,338383,12.989999999999998,10100000000.0,29761.0
Bahamas2012,Bahamas,2012,5,343558,11.84,10700000000.0,31204.0
Bahamas2013,Bahamas,2013,5,348959,13.91,10600000000.0,30455.0
Bahrain1985,Bahrain,1985,11,365900,20.119999999999997,3650000000.0,9980.0
Bahrain1987,Bahrain,1987,9,363900,25.680000000000003,3390000000.0,9321.0
Bahrain1988,Bahrain,1988,14,389700,24.8,3700000000.0,9501.0
Bahrain1997,Bahrain,1997,0,529754,0.0,6350000000.0,11985.0
Bahrain1998,Bahrain,1998,0,546008,0.0,6180000000.0,11325.0
Bahrain1999,Bahrain,1999,17,565762,22.459999999999997,6620000000.0,11703.0
Bahrain2000,Bahrain,2000,29,590594,32.73,9060000000.0,15345.0
Bahrain2001,Bahrain,2001,23,624083,30.659999999999993,8980000000.0,14383.0
Bahrain2002,Bahrain,2002,25,661010,27.68,9630000000.0,14572.0
Bahrain2003,Bahrain,2003,34,702913,32.39,11100000000.0,15756.0
Bahrain2004,Bahrain,2004,42,751559,54.21000000000001,13200000000.0,17497.0
Bahrain2005,Bahrain,2005,42,819540,40.22,16000000000.0,19485.0
Bahrain2006,Bahrain,2006,28,888543,27.18,18500000000.0,20826.0
Bahrain2007,Bahrain,2007,40,964770,32.09,21700000000.0,22524.0
Bahrain2008,Bahrain,2008,43,1024110,27.89,25700000000.0,25106.0
Bahrain2009,Bahrain,2009,36,1092922,24.59,22900000000.0,20988.0
Bahrain2010,Bahrain,2010,19,1139160,11.89,25700000000.0,22572.0
Bahrain2011,Bahrain,2011,18,1103462,14.96,28800000000.0,26078.0
Bahrain2012,Bahrain,2012,19,1201778,8.68,30700000000.0,25587.0
Bahrain2013,Bahrain,2013,5,1214492,2.49,32500000000.0,26793.0
Bahrain2014,Bahrain,2014,9,1213966,6.5200000000000005,33400000000.0,27503.0
Barbados1985,Barbados,1985,7,231000,61.72,1420000000.0,6137.0
Barbados1986,Barbados,1986,8,231600,36.73,1560000000.0,6720.0
Barbados1987,Barbados,1987,6,233700,29.46,1710000000.0,7333.0
Barbados1988,Barbados,1988,12,234800,57.39,1820000000.0,7763.0
Barbados1989,Barbados,1989,16,236000,73.58,2020000000.0,8541.0
Barbados1990,Barbados,1990,16,237000,121.22999999999999,2020000000.0,8537.0
Barbados1991,Barbados,1991,17,237000,76.92999999999999,2010000000.0,8469.0
Barbados1992,Barbados,1992,14,240000,63.53000000000001,1950000000.0,8129.0
Barbados1993,Barbados,1993,16,239600,90.93,2050000000.0,8540.0
Barbados1994,Barbados,1994,14,240300,67.08,2150000000.0,8953.0
Barbados1995,Barbados,1995,17,241200,72.28999999999999,2260000000.0,9378.0
Barbados2000,Barbados,2000,10,251133,37.13,3120000000.0,12430.0
Barbados2001,Barbados,2001,2,252406,8.65,3120000000.0,12348.0
Barbados2002,Barbados,2002,0,253353,0.0,3170000000.0,12511.0
Barbados2003,Barbados,2003,0,254122,0.0,3270000000.0,12887.0
Barbados2004,Barbados,2004,3,254925,7.79,3510000000.0,13786.0
Barbados2005,Barbados,2005,1,255889,2.58,3900000000.0,15230.0
Barbados2006,Barbados,2006,9,256883,45.38,4250000000.0,16531.0
Barbados2007,Barbados,2007,0,258083,0.0,4520000000.0,17528.0
Barbados2008,Barbados,2008,1,259414,2.31,4610000000.0,17760.0
Barbados2009,Barbados,2009,5,260718,28.799999999999997,4430000000.0,17007.0
Barbados2010,Barbados,2010,3,261927,7.62,4460000000.0,17034.0
Barbados2011,Barbados,2011,0,263203,0.0,4660000000.0,17708.0
Barbados2012,Barbados,2012,0,264270,0.0,4660000000.0,17620.0
Barbados2013,Barbados,2013,0,265165,0.0,4610000000.0,17395.0
Belarus1990,Belarus,1990,2085,9408800,274.37,21700000000.0,2301.0
Belarus1991,Belarus,1991,2169,9476200,297.64000000000004,18000000000.0,1899.0
Belarus1992,Belarus,1992,2424,9570900,314.24000000000007,17000000000.0,1780.0
Belarus1993,Belarus,1993,2885,9641100,365.11,16300000000.0,1689.0
Belarus1994,Belarus,1994,3153,9653900,403.58,14900000000.0,1547.0
Belarus1995,Belarus,1995,3203,9673600,404.00999999999993,14000000000.0,1444.0
Belarus1996,Belarus,1996,3627,9684800,455.7099999999999,14800000000.0,1524.0
Belarus1997,Belarus,1997,3526,9692100,446.49999999999994,14100000000.0,1458.0
Belarus1998,Belarus,1998,3556,9694800,455.64,15200000000.0,1570.0
Belarus1999,Belarus,1999,3397,9563200,450.36,12100000000.0,1269.0
Belarus2000,Belarus,2000,3483,9543479,447.3,12700000000.0,1335.0
Belarus2001,Belarus,2001,3303,9513587,419.6500000000001,12400000000.0,1299.0
Belarus2002,Belarus,2002,3291,9469234,410.99999999999994,14600000000.0,1541.0
Belarus2003,Belarus,2003,3456,9420691,444.86,17800000000.0,1892.0
Belarus2007,Belarus,2007,2659,9244456,355.89000000000004,45300000000.0,4898.0
Belarus2008,Belarus,2008,2658,9205746,352.15999999999997,60800000000.0,6601.0
Belarus2009,Belarus,2009,2743,9169969,375.53999999999996,49200000000.0,5366.0
Belarus2010,Belarus,2010,2459,8981193,331.97999999999996,57200000000.0,6371.0
Belarus2011,Belarus,2011,2172,8947320,299.36,61800000000.0,6902.0
Belarus2013,Belarus,2013,1902,8910240,273.32,75500000000.0,8477.0
Belarus2014,Belarus,2014,1741,8906977,252.90999999999997,78800000000.0,8849.0
Belgium1985,Belgium,1985,2281,9269600,332.04,86700000000.0,9356.0
Belgium1986,Belgium,1986,2202,9287100,314.69,121000000000.0,13000.0
Belgium1987,Belgium,1987,2238,9291300,327.76,150000000000.0,16200.0
Belgium1988,Belgium,1988,1996,9319300,283.79999999999995,163000000000.0,17500.0
Belgium1989,Belgium,1989,1920,9349200,284.8499999999999,165000000000.0,17700.0
Belgium1990,Belgium,1990,1895,9369700,277.10999999999996,206000000000.0,22000.0
Belgium1991,Belgium,1991,1805,9396600,264.02,212000000000.0,22500.0
Belgium1992,Belgium,1992,1878,9428100,265.88,236000000000.0,25000.0
Belgium1993,Belgium,1993,2142,9462900,300.46999999999997,226000000000.0,23900.0
Belgium1994,Belgium,1994,2131,9497400,300.40000000000003,246000000000.0,25900.0
Belgium1995,Belgium,1995,2155,9527100,285.90000000000003,290000000000.0,30400.0
Belgium1996,Belgium,1996,2013,9557545,267.54,281000000000.0,29400.0
Belgium1997,Belgium,1997,2146,9576223,284.73999999999995,255000000000.0,26600.0
Belgium1998,Belgium,1998,2019,9620997,264.73999999999995,261000000000.0,27100.0
Belgium1999,Belgium,1999,1857,9648277,230.70000000000002,260000000000.0,27000.0
Belgium2000,Belgium,2000,2143,9674025,267.8,238000000000.0,24600.0
Belgium2001,Belgium,2001,2165,9710055,261.22,238000000000.0,24500.0
Belgium2002,Belgium,2002,2076,9758570,247.85999999999999,259000000000.0,26500.0
Belgium2003,Belgium,2003,2091,9804122,248.72999999999996,319000000000.0,32500.0
Belgium2004,Belgium,2004,1987,9848022,231.06000000000003,371000000000.0,37700.0
Belgium2005,Belgium,2005,2029,9901014,231.75000000000003,387000000000.0,39100.0
Belgium2006,Belgium,2006,1935,9962702,214.89999999999998,410000000000.0,41100.0
Belgium2007,Belgium,2007,1857,10030266,208.56999999999996,472000000000.0,47000.0
Belgium2008,Belgium,2008,1999,10100850,221.54000000000002,519000000000.0,51300.0
Belgium2009,Belgium,2009,2013,10173366,218.35000000000002,485000000000.0,47600.0
Belgium2010,Belgium,2010,2013,10211171,220.18,484000000000.0,47400.0
Belgium2011,Belgium,2011,2088,10355126,226.70999999999998,527000000000.0,50900.0
Belgium2012,Belgium,2012,2026,10442637,217.13,498000000000.0,47700.0
Belgium2013,Belgium,2013,1895,10526149,201.55000000000004,521000000000.0,49500.0
Belgium2014,Belgium,2014,1899,10578848,201.85000000000002,531000000000.0,50200.0
Belgium2015,Belgium,2015,1867,10624356,196.66,455000000000.0,42800.0
Belize1986,Belize,1986,3,146800,19.369999999999997,228000000.0,1552.0
Belize1987,Belize,1987,4,144069,31.41,277000000.0,1920.0
Belize1989,Belize,1989,1,153088,5.16,363000000.0,2372.0
