,Unnamed: 0,country-year,country,year,suicides_no,population,suicides/100k pop,year_gdp,gdp_per_capita,Lat,Lng
0,16,Albania2005,Albania,2005,0,2783320,0.0,8160000000.0,2931.0,41.153332,20.168331
1,40,Antigua and Barbuda2005,Antigua and Barbuda,2005,0,80809,0.0,1020000000.0,12649.0,17.060816,-61.796428000000006
2,69,Argentina2005,Argentina,2005,3058,35550617,128.18,199000000000.0,5590.0,-38.416097,-63.61667199999999
3,112,Aruba2005,Aruba,2005,10,93728,99.57999999999998,2330000000.0,24870.0,12.52111,-69.968338
4,169,Austria2005,Austria,2005,1399,7827461,235.25,316000000000.0,40400.0,47.516231,14.550072
5,211,Bahamas2005,Bahamas,2005,4,301763,13.32,9840000000.0,32596.0,25.03428,-77.39627999999998
6,231,Bahrain2005,Bahrain,2005,42,819540,40.22,16000000000.0,19485.0,26.0667,50.5577
7,257,Barbados2005,Barbados,2005,1,255889,2.58,3900000000.0,15230.0,13.193887,-59.543198
8,307,Belgium2005,Belgium,2005,2029,9901014,231.75000000000003,387000000000.0,39100.0,50.503887,4.469936
9,335,Belize2005,Belize,2005,12,245020,46.1,1110000000.0,4547.0,17.189877,-88.49765
10,368,Brazil2005,Brazil,2005,8529,170483960,73.60000000000002,892000000000.0,5230.0,-14.235004,-51.92528
11,399,Bulgaria2005,Bulgaria,2005,982,7404051,178.06,29600000000.0,4003.0,42.733883,25.48583
12,430,Canada2005,Canada,2005,3743,30597090,133.84,1170000000000.0,38200.0,56.130366,-106.34677099999999
13,459,Chile2005,Chile,2005,1682,14893574,147.43,123000000000.0,8260.0,-35.675146999999996,-71.542969
14,490,Colombia2005,Colombia,2005,2102,39172790,74.84,147000000000.0,3740.0,4.570868,-74.297333
15,521,Costa Rica2005,Costa Rica,2005,272,3887096,78.73,20000000000.0,5133.0,9.748917,-83.753428
16,541,Croatia2005,Croatia,2005,874,4235875,269.56999999999994,45400000000.0,10722.0,45.1,15.200000099999999
17,566,Cuba2005,Cuba,2005,1397,10616406,205.94,42600000000.0,4017.0,21.521757,-77.78116700000001
18,580,Cyprus2005,Cyprus,2005,17,701263,24.739999999999995,18700000000.0,26671.0,35.126413,33.429859
19,607,Czech Republic2005,Czech Republic,2005,1565,9761733,193.4,136000000000.0,14000.0,49.81749199999999,15.472961999999999
20,630,Denmark2005,Denmark,2005,631,5089852,164.23,264000000000.0,52000.0,56.26392,9.501785
21,662,Ecuador2005,Ecuador,2005,943,12217643,96.73000000000002,41500000000.0,3397.0,-1.8312389999999998,-78.18340599999998
22,687,El Salvador2005,El Salvador,2005,455,5378879,115.73000000000002,14700000000.0,2733.0,13.794185,-88.89653
23,707,Estonia2005,Estonia,2005,273,1288495,256.43,14000000000.0,10870.0,58.595271999999994,25.0136071
24,722,Fiji2005,Fiji,2005,22,732607,52.83,3010000000.0,4104.0,-17.713371,178.065032
25,747,Finland2005,Finland,2005,994,4961784,230.52,204000000000.0,41200.0,61.92410999999999,25.7481511
26,778,France2005,France,2005,10713,57160687,232.09,2200000000000.0,38400.0,46.227638,2.213749
27,800,Georgia2005,Georgia,2005,87,4132000,28.36,6410000000.0,1552.0,32.1656221,-82.9000751
