,country,year,suicides/100k pop,year_gdp,gdp_per_capita ($),Lat,Lng
0,Albania,2010,924.7599999999999,2160000000,$796.00 ,41.153332,20.168331
1,Antigua and Barbuda,2015,179.14,241000000,"$3,850.00 ",17.060816,-61.796428
2,Argentina,2015,3894.589999999997,88400000000,"$3,264.00 ",-38.416097,-63.61667199999999
3,Armenia,2016,976.2100000000002,2260000000,$756.00 ,40.069099,45.038189
4,Aruba,2011,1596.5199999999998,1320000000,"$17,949.00 ",12.52111,-69.968338
5,Australia,2015,4677.410000000004,180000000000,"$12,374.00 ",-25.274398,133.775136
6,Austria,2016,9076.229999999998,69400000000,"$9,759.00 ",47.516231,14.550072
7,Azerbaijan,2007,356.2400000000002,8860000000,"$1,439.00 ",40.143105,47.576927
8,Bahamas,2013,344.28000000000003,2320000000,"$11,393.00 ",25.03428,-77.39627999999999
9,Bahrain,2014,467.24000000000007,3650000000,"$9,980.00 ",26.0667,50.5577
10,Barbados,2013,891.1300000000002,1420000000,"$6,137.00 ",13.193887,-59.543198
11,Belarus,2014,7831.129999999998,21700000000,"$2,301.00 ",53.709807,27.953389
12,Belgium,2015,7900.500000000004,86700000000,"$9,356.00 ",50.503887,4.469936
13,Belize,2015,2093.490000000001,228000000,"$1,552.00 ",17.189877,-88.49765
14,Bosnia and Herzegovina,2014,110.81,18600000000,"$5,076.00 ",43.915886,17.679076
15,Brazil,2015,2174.7200000000003,223000000000,"$1,898.00 ",-14.235004,-51.92528
16,Bulgaria,2014,7016.080000000007,17200000000,"$2,044.00 ",42.733883,25.48583
17,Cabo Verde,2011,133.84,1860000000,"$4,124.00 ",16.5388,-23.0418
18,Canada,2013,4338.7199999999975,365000000000,"$15,522.00 ",56.130366,-106.346771
19,Chile,2015,3921.6400000000012,17700000000,"$1,658.00 ",-35.675147,-71.542969
20,Colombia,2015,2009.39,34900000000,"$1,393.00 ",4.570868,-74.297333
21,Costa Rica,2014,2553.719999999998,4800000000,"$2,145.00 ",9.748916999999999,-83.753428
22,Croatia,2016,5982.84,22400000000,"$4,978.00 ",45.1,15.2000001
23,Cuba,2015,6111.9500000000035,22100000000,"$2,227.00 ",21.521757,-77.781167
24,Cyprus,2016,586.2599999999999,10600000000,"$12,389.00 ",35.126413,33.429859
25,Czech Republic,2016,5952.9899999999925,40500000000,"$4,168.00 ",49.81749199999999,15.472962
26,Denmark,2015,3721.6499999999965,156000000000,"$32,034.00 ",56.26392,9.501785
27,Dominica,1985,0.0,98600000,"$1,485.00 ",15.414999,-61.37097600000001
28,Ecuador,2015,2345.209999999999,17100000000,"$2,238.00 ",-1.831239,-78.18340599999999
29,El Salvador,2014,3035.940000000002,4820000000,"$1,068.00 ",13.794185,-88.89653
30,Estonia,2015,6873.780000000001,4370000000,"$3,224.00 ",58.595272,25.0136071
31,Fiji,2012,673.8600000000001,1660000000,"$2,307.00 ",-17.713371,178.065032
32,Finland,2015,7924.11,91600000000,"$19,861.00 ",61.92410999999999,25.7481511
33,France,2014,7803.250000000002,553000000000,"$10,765.00 ",46.227638,2.213749
34,Georgia,2015,1116.379999999999,7750000000,"$1,555.00 ",32.1656221,-82.9000751
35,Germany,2015,4854.689999999999,1760000000000,"$23,546.00 ",51.165691,10.451526
36,Greece,2015,1512.1199999999997,47800000000,"$5,156.00 ",39.074208,21.824312
37,Grenada,2016,660.9999999999999,168000000,"$1,965.00 ",12.1165,-61.67899999999999
38,Guatemala,2015,1146.6999999999996,7230000000,"$1,044.00 ",15.783471,-90.23075899999999
39,Guyana,2013,6655.919999999999,414000000,$632.00 ,4.860416,-58.93018
40,Hungary,2016,10156.069999999994,34700000000,"$3,561.00 ",47.162494,19.5033041
41,Iceland,2016,4889.74,2940000000,"$13,357.00 ",64.963051,-19.020835
42,Ireland,2014,3881.7299999999987,21300000000,"$6,638.00 ",53.1423672,-7.692053599999999
43,Israel,2015,3329.969999999999,27500000000,"$7,325.00 ",31.046051,34.851612
44,Italy,2015,3168.87,451000000000,"$8,329.00 ",41.87194,12.56738
45,Jamaica,2011,106.44,2100000000,"$1,032.00 ",18.109581,-77.297508
46,Japan,2015,8025.229999999999,1400000000000,"$12,401.00 ",36.204824,138.252924
47,Kazakhstan,2015,9519.519999999995,26900000000,"$1,823.00 ",48.019573,66.923684
48,Kiribati,2001,878.5100000000002,47500000,$768.00 ,-3.370417,-168.734039
49,Kuwait,2014,355.9300000000001,21400000000,"$14,607.00 ",29.31166,47.481766
50,Kyrgyzstan,2015,4457.300000000004,2670000000,$715.00 ,41.20438,74.766098
51,Latvia,2015,7373.350000000004,5790000000,"$2,438.00 ",56.879635,24.603189
52,Lithuania,2016,10588.879999999997,7870000000,"$2,324.00 ",55.169438,23.881275
53,Luxembourg,2015,6156.559999999995,4740000000,"$13,743.00 ",49.815273,6.129582999999999
54,Macau,1994,171.74000000000004,6270000000,"$18,081.00 ",22.198745,113.543873
55,Maldives,2011,164.08,624000000,"$2,524.00 ",3.202778,73.22068
56,Malta,2015,1872.0099999999995,1120000000,"$3,639.00 ",35.937496,14.375416
57,Mauritius,2016,4464.579999999998,1080000000,"$1,223.00 ",-20.348404,57.55215200000001
58,Mexico,2015,1751.1899999999998,184000000000,"$2,730.00 ",23.634501,-102.552784
59,Mongolia,2016,184.39,11200000000,"$4,145.00 ",46.862496,103.846656
60,Montenegro,2009,1194.0299999999997,984000000,"$1,701.00 ",42.708678,19.37439
61,Netherlands,2016,4066.5199999999973,142000000000,"$10,428.00 ",52.132633,5.291265999999999
62,New Zealand,2013,5008.320000000005,25000000000,"$8,246.00 ",-40.900557,174.885971
63,Nicaragua,2015,472.82000000000005,8760000000,"$1,715.00 ",12.865416,-85.207229
64,Norway,2015,4658.760000000001,78700000000,"$20,117.00 ",60.47202399999999,8.468945999999999
65,Oman,2014,26.5,48400000000,"$18,557.00 ",21.4735329,55.975413
66,Panama,2015,1744.059999999999,6540000000,"$3,443.00 ",8.537981,-80.782127
67,Paraguay,2014,1366.3700000000006,2970000000,$964.00 ,-23.442503,-58.443832
68,Philippines,2011,435.83000000000004,53000000000,$958.00 ,12.879721,121.774017
69,Poland,2015,4397.620000000002,66000000000,"$1,876.00 ",51.919438,19.145136
70,Portugal,2014,3673.36,27100000000,"$2,912.00 ",39.39987199999999,-8.224454
71,Puerto Rico,2015,3789.279999999998,20300000000,"$6,582.00 ",18.220833,-66.590149
72,Qatar,2016,318.1499999999998,8140000000,"$17,559.00 ",25.354826,51.183884
73,Republic of Korea,2015,9350.449999999995,100000000000,"$2,731.00 ",35.907757,127.766922
74,Romania,2016,4171.550000000001,42100000000,"$1,973.00 ",45.943161,24.96676
75,Russian Federation,2015,11305.130000000006,507000000000,"$3,740.00 ",61.52401,105.318756
76,Saint Kitts and Nevis,1992,0.0,209000000,"$5,339.00 ",17.357822,-62.782998
77,Saint Lucia,2014,2420.1200000000013,290000000,"$2,634.00 ",13.909444,-60.978893
78,Saint Vincent and Grenadines,2015,1726.6299999999999,146000000,"$1,622.00 ",12.984305,-61.287228
79,San Marino,2005,145.62,1220000000,"$48,255.00 ",43.94236,12.457777
80,Serbia,2015,4787.450000000001,18300000000,"$2,547.00 ",44.016521,21.005859
81,Seychelles,2015,1615.7000000000003,169000000,"$2,947.00 ",-4.679574,55.491977
82,Singapore,2015,6340.979999999998,19100000000,"$8,142.00 ",1.352083,103.819836
83,Slovakia,2014,3318.1599999999994,15400000000,"$3,143.00 ",48.669026,19.699024
84,Slovenia,2015,7012.619999999997,21300000000,"$11,291.00 ",46.151241,14.995463
85,South Africa,2015,231.48999999999998,148000000000,"$3,908.00 ",-30.559482,22.937506
