,Unnamed: 0,country-year,country,year,suicides_no,population,suicides/100k pop,year_gdp,gdp_per_capita,Lat,Lng
48,48.0,Antigua and Barbuda2015,Antigua and Barbuda,2015.0,1.0,91889.0,15.62,1360000000.0,14853.0,17.060816,-61.796428
79,79.0,Argentina2015,Argentina,2015.0,3073.0,39699624.0,112.13,595000000000.0,15000.0,-38.416097,-63.61667199999999
103,103.0,Armenia2015,Armenia,2015.0,74.0,2795335.0,45.28,10600000000.0,3775.0,40.069099,45.038189
148,148.0,Australia2015,Australia,2015.0,3027.0,22240785.0,154.18000000000004,1350000000000.0,60700.0,-25.274398,133.775136
179,179.0,Austria2015,Austria,2015.0,1251.0,8219386.0,194.62,382000000000.0,46500.0,47.516231,14.550072
317,317.0,Belgium2015,Belgium,2015.0,1867.0,10624356.0,196.66,455000000000.0,42800.0,50.503887,4.469936
345,345.0,Belize2015,Belize,2015.0,26.0,319835.0,135.46,1780000000.0,5561.0,17.189877,-88.49765
378,378.0,Brazil2015,Brazil,2015.0,11163.0,191087085.0,77.45,1800000000000.0,9430.0,-14.235004,-51.92528
469,469.0,Chile2015,Chile,2015.0,1838.0,16565725.0,147.68,244000000000.0,14700.0,-35.675147,-71.542969
500,500.0,Colombia2015,Colombia,2015.0,2332.0,44490427.0,70.39999999999998,292000000000.0,6550.0,4.570868,-74.297333
551,551.0,Croatia2015,Croatia,2015.0,739.0,4001669.0,229.68,49400000000.0,12351.0,45.1,15.2000001
576,576.0,Cuba2015,Cuba,2015.0,1511.0,10832068.0,194.31,87100000000.0,8044.0,21.521757,-77.781167
590,590.0,Cyprus2015,Cyprus,2015.0,40.0,796037.0,49.59,19700000000.0,24718.0,35.126413,33.429859
617,617.0,Czech Republic2015,Czech Republic,2015.0,1387.0,9989325.0,170.86999999999995,187000000000.0,18700.0,49.81749199999999,15.472962
640,640.0,Denmark2015,Denmark,2015.0,564.0,5383060.0,121.42,301000000000.0,56000.0,56.26392,9.501785
672,672.0,Ecuador2015,Ecuador,2015.0,1073.0,14534024.0,97.39,99300000000.0,6832.0,-1.831239,-78.18340599999999
717,717.0,Estonia2015,Estonia,2015.0,195.0,1243450.0,205.38,22600000000.0,18149.0,58.595272,25.0136071
757,757.0,Finland2015,Finland,2015.0,731.0,5181797.0,161.18999999999997,232000000000.0,44900.0,61.92410999999999,25.7481511
809,809.0,Georgia2015,Georgia,2015.0,192.0,3458400.0,84.68,14000000000.0,4046.0,32.1656221,-82.9000751
835,835.0,Germany2015,Germany,2015.0,10088.0,78136683.0,150.34,3380000000000.0,43200.0,51.165691,10.451526
866,866.0,Greece2015,Greece,2015.0,529.0,10331286.0,56.06,196000000000.0,18900.0,39.074208,21.824312
891,891.0,Grenada2015,Grenada,2015.0,0.0,96892.0,0.0,997000000.0,10290.0,12.1165,-61.67899999999999
922,922.0,Guatemala2015,Guatemala,2015.0,494.0,14258397.0,44.85,63800000000.0,4472.0,15.783471,-90.23075899999999
972,972.0,Hungary2015,Hungary,2015.0,1868.0,9389519.0,257.2699999999999,123000000000.0,13100.0,47.162494,19.5033041
1004,1004.0,Iceland2015,Iceland,2015.0,40.0,308554.0,140.65,16900000000.0,54909.0,64.963051,-19.020835
1066,1066.0,Israel2015,Israel,2015.0,342.0,7516180.0,65.91,299000000000.0,39800.0,31.046051,34.851612
1097,1097.0,Italy2015,Italy,2015.0,3988.0,58117697.0,78.45,1830000000000.0,31500.0,41.87194,12.56738
1145,1145.0,Japan2015,Japan,2015.0,23092.0,120376310.0,206.04,4390000000000.0,36500.0,36.204824,138.252924
1171,1171.0,Kazakhstan2015,Kazakhstan,2015.0,2872.0,15646752.0,238.02,184000000000.0,11800.0,48.019573,66.923684
1233,1233.0,Kyrgyzstan2015,Kyrgyzstan,2015.0,417.0,5195827.0,98.37,6680000000.0,1285.0,41.20438,74.766098
1254,1254.0,Latvia2015,Latvia,2015.0,387.0,1875522.0,251.47000000000008,27000000000.0,14382.0,56.879635,24.603189
1275,1275.0,Lithuania2015,Lithuania,2015.0,896.0,2753926.0,385.48,41500000000.0,15073.0,55.169438,23.881275
1307,1307.0,Luxembourg2015,Luxembourg,2015.0,64.0,537748.0,134.39999999999998,57800000000.0,107456.0,49.815273,6.129582999999999
1349,1349.0,Malta2015,Malta,2015.0,34.0,410637.0,78.26999999999998,10600000000.0,25750.0,35.937496,14.375416
1380,1380.0,Mauritius2015,Mauritius,2015.0,104.0,1154848.0,99.96999999999996,11700000000.0,10125.0,-20.348404,57.55215200000001
1412,1412.0,Mexico2015,Mexico,2015.0,6234.0,114357884.0,66.57,1170000000000.0,10200.0,23.634501,-102.552784
1454,1454.0,Netherlands2015,Netherlands,2015.0,1873.0,16057342.0,126.93,758000000000.0,47200.0,52.132633,5.291265999999999
1490,1490.0,Nicaragua2015,Nicaragua,2015.0,315.0,5476483.0,69.86999999999999,12600000000.0,2303.0,12.865416,-85.207229
1520,1520.0,Norway2015,Norway,2015.0,590.0,4882909.0,136.43,387000000000.0,79200.0,60.47202399999999,8.468945999999999
1548,1548.0,Panama2015,Panama,2015.0,110.0,3583382.0,44.89999999999999,54300000000.0,15158.0,8.537981,-80.782127
