Entity,Code,Year,"All ages (per 100,000)","70+ years old (per 100,000)","50-69 years old (per 100,000)","15-49 years old (per 100,000)","5-14 years old (per 100,000)","Age-standardized (per 100,000)"
Afghanistan,AFG,1990,5.895373441,18.0101786404,8.94142263522,11.0997766276,0.410966752044,9.2108771712
Afghanistan,AFG,1991,6.0116651493,18.0728454833,9.15826193363,11.2148311285,0.41474199587500005,9.34400012047
Afghanistan,AFG,1992,6.13051386238,17.9937640413,9.364499630220001,11.3309037839,0.418220338325,9.46905291279
Afghanistan,AFG,1993,6.2445257616,18.0954848667,9.55051471511,11.4441762671,0.423134105053,9.58103196455
Afghanistan,AFG,1994,6.40275618057,18.2947752634,9.80717050747,11.6684941746,0.43254977087999996,9.77865469692
Afghanistan,AFG,1995,6.49158883701,18.356414656,9.95463412895,11.7941176023,0.44224476152099995,9.893284856380001
Afghanistan,AFG,1996,6.5231842126399995,18.4654369673,10.0713397994,11.8858720847,0.439079665904,9.97982629461
Afghanistan,AFG,1997,6.54562261482,18.5983725699,10.1415295502,11.9774201839,0.44095896825700004,10.0536904722
Afghanistan,AFG,1998,6.57027028747,18.7640258689,10.2185127393,12.0716189731,0.437916493956,10.136624990900001
Afghanistan,AFG,1999,6.57370475216,18.857550721600003,10.245872200800001,12.110089775399999,0.430679646428,10.1717166351
Afghanistan,AFG,2000,6.627821571459999,19.050459908,10.3325512623,12.216294994,0.42928838786499995,10.263788797
Afghanistan,AFG,2001,6.59900937532,18.988117791300002,10.2813158632,12.120321483200001,0.424261623355,10.2030626226
Afghanistan,AFG,2002,6.624608106789999,19.184718773,10.3295437621,12.109335036300001,0.422267175163,10.230581190699999
Afghanistan,AFG,2003,6.73737633146,19.4084268093,10.3919002701,12.2338041225,0.50731012325,10.3300149658
Afghanistan,AFG,2004,6.78914925764,19.6105540545,10.4545553793,12.2777166882,0.528014223927,10.3822642285
Afghanistan,AFG,2005,6.83416797722,19.9438732956,10.5614224172,12.319962357500001,0.524897445994,10.452692448799999
Afghanistan,AFG,2006,6.7930475055,20.1197682038,10.559210914200001,12.291503171199999,0.512340621092,10.4423013367
Afghanistan,AFG,2007,6.71719741918,20.2275682717,10.5029269305,12.1951671773,0.500617204482,10.381249909200001
Afghanistan,AFG,2008,6.66295006648,20.3297821233,10.4693229177,12.1270760625,0.484720376095,10.3427788071
Afghanistan,AFG,2009,6.60902669121,20.4155815306,10.4159245353,12.0312673001,0.469233477091,10.2895409711
Afghanistan,AFG,2010,6.47952093196,20.3998197829,10.3300316401,11.788987435000001,0.380752436437,10.1513422593
Afghanistan,AFG,2011,6.43664873337,20.486013907300002,10.300813812600001,11.6321578814,0.335174125477,10.0869814124
Afghanistan,AFG,2012,6.4446394403300005,20.511477239,10.261677021999999,11.5415798095,0.334175986096,10.0501793318
Afghanistan,AFG,2013,6.60553257119,20.5197208073,10.286163585,11.689830609,0.444819771827,10.1511403456
Afghanistan,AFG,2014,6.657317326539999,20.3795669957,10.277890081999999,11.6716262301,0.46122692191400005,10.1464590258
Afghanistan,AFG,2015,6.70421064164,20.146881055,10.275797106199999,11.6550393611,0.46230519305600004,10.1338627221
Afghanistan,AFG,2016,6.72974135849,20.1731690244,10.266965944,11.6199077327,0.461138288595,10.105405541400001
Albania,ALB,1990,3.8413270786,7.3232864189799995,5.22952847147,5.55090264276,0.476789306485,4.24142654392
Albania,ALB,1991,3.9531432255700003,7.3090920625199995,5.28500559137,5.75450755077,0.530713823632,4.35842917774
Albania,ALB,1992,4.01347772793,7.21639404955,5.27947259933,5.89968400527,0.543342805371,4.42579895875
Albania,ALB,1993,4.17731134953,7.35942323295,5.37529193444,6.20065781248,0.571858902534,4.60673916262
Albania,ALB,1994,4.28431546808,7.40015196287,5.39276213987,6.411984384699999,0.5851165521180001,4.72297361516
Albania,ALB,1995,4.519960804749999,7.5628051698,5.4845078586,6.83086981361,0.614192181719,4.96468513764
Albania,ALB,1996,4.79794450235,7.86255129389,5.59329962411,7.2630838973000005,0.6266349767380001,5.227804781830001
Albania,ALB,1997,5.18156529125,8.31836380654,5.92590843982,7.81416843783,0.658803400324,5.60797734268
Albania,ALB,1998,5.43887900612,8.67517337643,6.1830807736099995,8.13358668923,0.675792002994,5.85262623784
Albania,ALB,1999,5.58421806714,8.876924726659999,6.2907143447000005,8.27708931914,0.686267275379,5.97270695997
Albania,ALB,2000,5.58443011114,8.89178601018,6.30285956443,8.16635511811,0.703493199739,5.93582364942
Albania,ALB,2001,5.86413360618,9.482560090969999,6.66112323027,8.430153394269999,0.7706690595210001,6.1894252753
Albania,ALB,2002,6.1032114027,9.89983317064,6.9085363157,8.64214566099,0.836426582878,6.38473448386
Albania,ALB,2003,6.29411778843,10.2596982714,7.093128289509999,8.768193278,0.896563996524,6.517107676489999
Albania,ALB,2004,6.488495099770001,10.5062313159,7.19492959737,8.92847971713,0.959248667262,6.64326574198
Albania,ALB,2005,6.60217588202,10.4792613205,7.233553752270001,8.97740068358,1.0251253978500001,6.67575003684
Albania,ALB,2006,6.66981910527,10.3738111292,7.244814031580001,8.96485088305,1.04974988255,6.65351693329
Albania,ALB,2007,6.75783572307,10.6354553361,7.371279096029999,8.933419350920001,1.05255876952,6.66975605986
Albania,ALB,2008,6.8758127586,10.724335541999999,7.4032613522699995,9.0115416619,1.07169813006,6.71799230781
Albania,ALB,2009,6.81579934826,10.5400404416,7.2488640900900005,8.86435563351,1.05376352698,6.5940494453900005
Albania,ALB,2010,6.66705020517,10.123944360000001,7.15160807771,8.57161647521,0.991046739902,6.382372360869999
Albania,ALB,2011,6.574964255629999,9.820766980010001,7.08770547619,8.35189529349,0.9421302882629999,6.214142464309999
Albania,ALB,2012,6.49066872431,9.63685846789,7.004549673670001,8.1482490003,0.895899065696,6.062840621159999
Albania,ALB,2013,6.44428868854,9.55195403691,6.945812255549999,8.00629166632,0.855111831683,5.95728299687
Albania,ALB,2014,6.37017561688,9.464670657360001,6.85759836161,7.84145445614,0.8087620055210001,5.83750405029
Albania,ALB,2015,6.320568160250001,9.424824277199999,6.792158376930001,7.724972221130001,0.770583126887,5.75294062084
Albania,ALB,2016,6.2599141529499995,9.413787857300001,6.706779554660001,7.61005528759,0.725251905873,5.66681863809
Algeria,DZA,1990,3.12072440147,5.59423486006,4.37989517529,5.51601123437,0.260756313913,4.12802762949
Algeria,DZA,1991,3.09895778277,5.5917742525500005,4.3385440391,5.43342147973,0.25636568981,4.0741754320400005
Algeria,DZA,1992,3.09267391986,5.610254218110001,4.33659554989,5.3708876407599995,0.253989744381,4.041306493
Algeria,DZA,1993,3.09562751945,5.64943688821,4.33979300794,5.32175044427,0.25290615063800004,4.01738583795
Algeria,DZA,1994,3.09606767867,5.66567131219,4.33099531464,5.26772908459,0.251994265932,3.9861201265800004
Algeria,DZA,1995,3.10169260651,5.68154694753,4.31515247996,5.2233694668699995,0.251665815077,3.95664975372
Algeria,DZA,1996,3.1247210798,5.72978491275,4.33518433541,5.21086827035,0.25163015228400004,3.95059157771
Algeria,DZA,1997,3.19038506169,5.8208939828,4.35052037026,5.27534120442,0.25949635382200004,3.9793828107199998
Algeria,DZA,1998,3.2420434805,5.89665798196,4.33017090542,5.31527054718,0.262715959994,3.9858813657699996
Algeria,DZA,1999,3.28033126471,6.02628725755,4.4768924962200005,5.29544078282,0.265865077663,4.022126916
Algeria,DZA,2000,3.28561387186,6.09111405146,4.57373389501,5.2194884888,0.26668791806700004,4.01210044273
